no,年,月,日,地名(中文),纬度,经度,震级,标度,死亡人数,受伤人数
72,1944,1,15,阿根廷:圣胡安,-31.5,-68.5,7.1,Mw,8000,
73,1944,2,1,土耳其:卡拉比克,41.4,32.7,7.2,Mw,2381,
74,1944,12,7,日本:三重近海,34,137.1,8.1,M,1223,2135
75,1945,1,12,日本:爱知田原市,34.7,137.2,6.8,Ms,2306,896
76,1945,11,27,阿曼湾东部,24.2,62.6,8,Mw,4000,
77,1946 ,5 ,31 ,土耳其:埃尔祖鲁姆,40,41.5,6,Muk,840,
78,1946,8,4,多米尼加:萨马纳,19.3,-68.9,7.9,Mw,1790,
79,1946,11,10,秘鲁:卡拉斯,-8.5,-77.5,6.8,Mw,800,
80,1946,12,20,琉球海沟,33,135.6,8.1,M,1432,
81,1947 ,9 ,23 ,伊朗:呼罗珊,33.4,58.7,6.8,Muk,500,
82,1948,5,25,中国:四川理塘,29.5,100.5,7.2,Mw,800,200
83,1948,6,28,日本:福井近海,36.5,136,7,Mw,5131,11000
84,1948,10,5,土库曼斯坦:阿什哈巴德,37.9,58.6,7.2,Mw,19800,
85,1949,7,10,塔吉克斯坦:塔吉卡巴德,39,70.5,7.6,Mw,3500,
86,1949,8,5,厄瓜多尔:东谷拉瓦,-1.5,-78.2,6.8,Muk,6000,
87,1950,8,15,中国:西藏察隅,28.5,96.5,8.6,M,3986,
88,1951,2,17,巴布亚新几内亚:莱阿莱阿,-9.3,147.1,7.2,mB,3000,
89,1951,5,6,萨尔瓦多:拉乌尼翁,13,-87.8,6.5,Muk,1100,
90,1951,8,3,"尼加拉瓜:丰塞卡湾,波多西",13,-87.5,6,Ms,1000,
91,1952 ,11 ,4 ,俄罗斯:堪察加东部近海,52.755,160.057,9,M,4000,
92,1953 ,2 ,12 ,伊朗:塞姆南,35.39,54.88,6.9,Muk,970,
93,1953,3,18,"土耳其:图穆鲁斯,森扁",40.12,27.621,7.2,Mw,1070,
94,1954 ,6 ,10 ,阿富汗:萨尔普勒,36,66,7,Mk,2000,
95,1954,9,9,阿尔及利亚:亚斯南,36.2,1.6,6.7,Ms,1243,5000
96,1955,9,23,中国:四川攀枝花,26.6,101.8,6.9,Ms,602,1153
97,1957,5,26,土耳其:阿邦特,40.7,30.9,7.2,Mw,500,
98,1957,6,27,俄罗斯:赤塔州库安达村镇,56.3,116.5,7.4,Mw,1200,
99,1957 ,7 ,2 ,伊朗:马赞德兰,36.09,52.701,7.1,Mw,1100,
100,1957 ,12 ,13 ,伊朗:克尔曼沙赫,34.278,47.712,6.8,Ms,1200,
101,1960,2,29,摩洛哥:阿加迪尔,30.5,-9.5,6.8,Ms,13100,25000
102,1960,5,22,"智利:蒙特港,巴尔迪维亚",-38.235,-73.047,9.5,M,2223,3000
103,1962 ,9 ,1 ,伊朗:加兹温,35.556,49.81,6.9,Ms,12225,2776
104,1963,7,26,马其顿:斯科普里,42.1,21.5,6,Ms,1070,3300
105,1966 ,3 ,22 ,中国:河北宁晋东南,37.5,115.1,7.2,Ms,8064,38451
106,1966 ,8 ,19 ,土耳其:瓦尔托,39.161,41.58,6.8,Muk,2394,
107,1968 ,8 ,31 ,伊朗:呼罗珊,34.045,58.96,7.2,Mw,12100,17000
108,1968 ,9 ,1 ,伊朗:呼罗珊,34.072,58.212,6.3,Ms,700,
109,1969 ,2 ,23 ,印度尼西亚:苏拉威西岛,-3.179,118.799,5.9,mb,664,
110,1970 ,1 ,4 ,中国:云南通海,24.147,102.462,7.8,Ms,15621,26783
111,1970 ,3 ,28 ,土耳其:盖迪兹,39.172,29.55,7.4,Ms,1086,1174
112,1970 ,5 ,31 ,秘鲁:卡斯马近海,-9.248,-78.84,7.9,M,66794,50000
113,1971 ,5 ,22 ,土耳其:宾格尔,38.868,40.542,6.7,Ms,1000,
114,1972 ,4 ,10 ,"伊朗:法尔斯,吉尔,卡尔津",28.408,52.789,6.9,Ms,30000,1700
115,1972 ,12 ,23 ,尼加拉瓜:马拉瓜,12.347,-86.128,6.2,Ms,10000,20000
116,1973 ,2 ,6 ,中国:四川炉霍附近,31.361,100.504,7.6,Ms,2175,2756
117,1973 ,8 ,28 ,"墨西哥:韦拉克鲁斯,墨西哥城",18.233,-96.608,7.3,mb,600,
118,1974 ,5 ,10 ,中国:云南大关北,28.184,103.995,7.1,Ms,1423,1600
119,1974 ,12 ,28 ,"巴基斯坦:巴拉考特,巴丹",35.023,72.9,6.2,Ms,5300,17000
120,1975 ,2 ,4 ,中国:辽宁海城,40.717,122.734,7.3,Ms,1328,16980
121,1975 ,9 ,6 ,土耳其:利杰,38.516,40.768,6.7,Ms,2311,3372
122,1976 ,2 ,4 ,"危地马拉:奇马尔特南戈,危地马拉城",15.297,-89.145,7.5,M,23000,76000
123,1976 ,5 ,6 ,意大利:乌迪内,46.385,13.266,6.5,Mw,978,1700
124,1976 ,6 ,25 ,印度尼西亚:巴布亚东部,-4.523,140.105,7.2,Mw,5150,
125,1976 ,7 ,14 ,印度尼西亚:巴厘岛,-8.227,114.775,6.5,Mw,563,
126,1976 ,7 ,27 ,中国:河北唐山,39.606,117.888,7.8,Ms,242000,164000
127,1976 ,8 ,16 ,"菲律宾:棉兰老岛,莱巴克",6.292,124.09,8,Mw,5066,10000
128,1976 ,11 ,24 ,土耳其:姆拉迪艾,39.083,44.03,7.3,Mw,5000,
129,1977 ,3 ,4 ,罗马尼亚:帕尔廷,45.777,26.703,7.5,Mw,1581,10500
130,1977 ,12 ,19 ,伊朗:克尔曼北部,30.915,56.414,5.9,Mw,584,1000
131,1978 ,9 ,16 ,伊朗:呼罗珊,33.268,57.387,7.4,Mw,20000,
132,1979 ,12 ,12 ,哥伦比亚:近海,1.603,-79.362,8.1,Mw,600,20000
133,1980 ,10 ,10 ,"阿尔及利亚:阿布哈桑堡,赫尔",36.154,1.417,7.7,Mw,5000,9000
134,1980 ,11 ,23 ,"意大利:艾维连奴,波坦察,卡塞塔",40.794,15.312,6.9,Mw,4689,7700
135,1981 ,6 ,11 ,伊朗:克尔曼,29.858,57.686,6.6,Mw,3000,
136,1981 ,7 ,28 ,伊朗:克尔曼,29.964,57.766,7.3,Mw,3000,1000
137,1982 ,12 ,13 ,也门:扎马尔,14.669,44.246,6.2,Mw,2800,1500
138,1982 ,12 ,16 ,阿富汗:普勒胡姆里,36.115,68.981,6.4,Mw,500,3000
139,1983 ,10 ,30 ,"土耳其:埃尔佐鲁姆,卡尔斯",40.328,42.177,6.6,Mw,1342,1142
140,1985 ,9 ,19 ,"墨西哥:米却肯,墨西哥城",18.437,-102.358,8,M,9500,30000
141,1986 ,10 ,10 ,萨尔瓦多:圣萨尔瓦多,13.796,-89.155,5.7,Mw,1100,10000
142,1987 ,3 ,6 ,"厄瓜多尔:纳波,基多",0.083,-77.785,7.2,Mw,1000,
143,1988 ,8 ,20 ,尼泊尔:萨加玛塔,26.758,86.624,6.9,Mw,1091,
144,1988 ,11 ,6 ,中国:云南临沧东北,22.814,99.605,7.4,Ms,748,7700
145,1988 ,12 ,7 ,"亚美尼亚:列宁纳坎,斯皮塔克",40.928,44.114,6.8,M,25000,
146,1990 ,6 ,20 ,"伊朗:拉什特,加兹温,赞詹",37.001,49.186,7.9,Ms,40000,105000
147,1990 ,7 ,16 ,"菲律宾:碧瑶,卡巴纳端,达古潘",15.721,121.181,7.7,Mw,2412,
148,1991 ,1 ,31 ,"阿富汗:库纳尔,巴格兰",35.979,70.471,6.9,Mw,845,
149,1991 ,10 ,19 ,"印度:查莫利,乌塔卡西,新德里",30.736,78.808,6.8,Mw,1500,1800
150,1992 ,10 ,12 ,埃及:开罗,29.729,31.158,5.8,Mw,545,6512
151,1992 ,12 ,12 ,印度尼西亚:弗洛勒斯岛,-8.482,121.844,7.8,Mw,2500,500
152,1993 ,9 ,29 ,印度:拉土尔-奥斯马纳巴德,18.079,76.516,6.2,M,9748,30000
153,1995 ,1 ,16 ,日本:神户,34.572,135.03,7.3,Mw,5502,36896
154,1995 ,5 ,27 ,俄罗斯:库页岛(萨哈林岛),52.597,142.827,7.5,Mw,1989,750
155,1997 ,2 ,28 ,伊朗:阿尔达比勒,38.096,48.035,6.1,Mw,1100,2600
156,1997 ,5 ,10 ,伊朗:比尔詹德,33.833,59.796,7.5,Mw,1728,2300
157,1998 ,2 ,4 ,阿富汗:罗斯塔奇,37.071,70.042,5.9,Mw,2323,
158,1998 ,5 ,30 ,"阿富汗:巴达赫尚,塔哈尔",37.137,70.094,6.6,Mw,4000,
159,1998,7,17,俾斯麦海,-2.943,142.582,7.1,Ms,2205,1000
160,1999,1,25,"哥伦比亚:亚美尼亚,卡拉卡",4.449,-75.652,6.2,Mw,1185,4750
161,1999,8,17,"土耳其:伊斯坦布尔,科贾埃利",40.773,30.002,7.6,M,17118,50000
162,1999,9,20,中国:台湾南投,23.819,120.863,7.7,M,2297,8700
163,1999,11,12,"土耳其:阿达帕札勒,松古达克",40.821,31.227,7.5,Ms,834,4948
164,2001,1,13,萨尔瓦多:近海,13.038,-88.661,7.7,M,844,4723
165,2001 ,1 ,26 ,"印度:古吉拉特,普杰",23.394,70.234,7.7,M,20005,166836
166,2002,1,17,刚果:戈马,-1.684,29.077,4.7,mb,1001,400
167,2002 ,3 ,25 ,阿富汗:普勒胡姆里,36.044,69.32,6.2,Ms,1000,200
168,2003,5,21,"阿尔及利亚:阿尔及尔,舍尔沙勒",36.964,3.634,6.9,Ms,2266,10261
169,2003 ,12 ,26 ,伊朗:克尔曼,28.995,58.311,6.8,Ms,43200,30000
170,2004,2,24,摩洛哥:胡塞马,35.142,-3.997,6.4,Ms,628,926
171,2004 ,12 ,26 ,印度尼西亚:锡默卢岛,3.295,95.982,9.1,Mw,227898,
172,2005 ,2 ,22 ,伊朗:克尔曼,30.754,56.816,6.5,Ms,612,1411
173,2005 ,3 ,28 ,印度尼西亚:北苏门答腊西部海域,2.085,97.108,8.7,Mw,1314,340
174,2005,10,8,巴基斯坦:穆扎法拉巴德,34.539,73.588,7.7,Ms,86000,69000
175,2006 ,5 ,26 ,"印度尼西亚:爪哇,班图尔",-7.961,110.446,6.3,Mw,5749,38568
176,2006 ,7 ,17 ,印度尼西亚:爪哇海岭,-9.254,107.411,7.7,Mw,664,6534
177,2007,8,15,"秘鲁:伊卡,皮斯科,利马",-13.386,-76.603,8.0,Mw,514,1090
178,2008,5,12,中国:四川汶川,30.95,103.4,8.0,Ms,87652,374171
179,2009,9,30,印度尼西亚:苏门答腊南部,-0.72,99.867,7.5,Mw,1117,1214
180,2010,1,12,海地:太子港,18.443,-72.571,7.3,Ms,222570,300000
181,2010,2,27,智利:马利,-35.846,-72.719,8.8,Mw,521,12000
182,2010,4,13,中国:青海玉树,33.271,96.629,7.1,Ms,2968,11000
183,2011,3,11,日本:宫城东部海域,38.322,142.369,9,Mw,27759,3006
184,2011,10,23,土耳其:凡城,38.689,43.4657,7.2,Mw,604,2608
